Date received,Tag,Consumer Claim,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
08/31/2018,Debt collection,"XXXX XXXX XXXX claims I owe XXXX to XXXX XXXX. The policy was supposed to be canceled earlier than it actually was, it appears their rep ( s ) failed to do so when I called on or around Late XX/XX/XXXX/early XX/XX/XXXX. The balance stems from two months of coverage, the months of XX/XX/XXXX and XX/XX/XXXX I  believe. Failing to cancel when instructed is not my error, I refuse to pay this.",Company believes the complaint is the result of a misunderstanding,"CCS Financial Services, Inc.",CT,06320,,Consent provided,Web,08/31/2018,Closed with explanation,Yes,,3007025
07/07/2015,Bank account or service,"Hi there. 
My complaint is regarding Bank of America ( BoA ). On XXXX/XXXX/2015 I called their customer services on XXXX and spoke with a XXXX XXXX XXXX to understand and challenge confusing and inexplicable charges made against my account by the bank. Several charges of {$25.00} had been made by the bank against my account, bringing it into an overdraft to date of {$71.00}. 
XXXX XXXX informed me that BoA had enrolled in an "" Advantage Program '' which gave me "" various benefits '' for a ( inconsistently applied ) monthly fee of {$25.00}. 
I informed XXXX XXXX that I had never agreed to such a program and that I was formally disputing any agreement to its enrollment and that I would like a case or reference number from him while BoA investigated the matter. I also requested that the charges be reversed and that BoA remove me from any "" Program '' which resulted in my being charged monthly for "" benefits '' without prior agreement from me. 
XXXX XXXX repeatedly refused to open an investigation of any form, or to take up my formal complaint, or give me a case or reference number. He insisted that he would not take ownership of my complaint and that he would limit his course of action to arranging for another office to send me a brief letter informing me of nothing more than the date on which BoA had unilaterally enrolled me ( without my explicit or implicit consent ) into their ( costly ) "" program ''. He also made it clear that no undertaking was being made to send me copies of any signed agreements I am supposed to have made. He then suggested that, once I am in receipt of the brief letter confirming the "" enrollment '' date, it would be up to me to then take a further step of visiting a BoA branch to request redress once more at that time. XXXX XXXX again refused to accept a formal complaint from me on the present call.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,941XX,,Consent provided,Web,07/07/2015,Closed with monetary relief,Yes,No,1454315
05/12/2014,Debt collection,,,"Aargon Agency, Inc.",CA,91406,,,Web,05/15/2014,Closed,No,Yes,849157
06/26/2014,Debt collection,,,CNG FINANCIAL CORPORATION,MI,48229,,,Web,06/30/2014,Closed with explanation,Yes,No,913019
12/29/2015,Debt collection,,,Midwest Recovery Systems,MD,21702,,,Phone,01/04/2016,Closed with explanation,No,No,1719635
04/29/2013,Credit card,,,JPMORGAN CHASE & CO.,TN,377XX,,,Phone,04/30/2013,Closed with explanation,Yes,No,394520
09/05/2017,"Money transfer, virtual currency, or money service","On XXXX XXXX ( XXXX/XXXX/XXXX ), I initiated a SEPA withdrawal transfer from my wallet on Coinbase with the value of XXXX. I received an automated email saying that the money would arrive in my bank account by XXXX XXXX ( XXXX/XXXX/XXXX ). Today is XXXX XXXX ( XXXX/XXXX/XXXX ) and the money still has n't arrived in my account even though on Coinbase the transfer is said to be completed. I have sent multiple support tickets which have n't been responded to. The dates of the supports tickets which got automated responses are ; XXXX XXXX, XXXX and XXXX. I sent XXXX before those which did n't even get an automated response. For a company that deals with consumers money to not respond is outrageous. I have waited over a month for something that was said to take a few days and am still waiting.",,"Coinbase, Inc.",,,,Consent provided,Web,09/05/2017,Closed with explanation,Yes,,2658058
06/20/2017,"Credit reporting, credit repair services, or other personal consumer reports",Have sent certified letters and also have called to request that inquiries that I did n't authorize be removed from my credit report. I am always told to contact the creditors to request that they remove the inquiries. The creditors state that because I do n't have an open account with them that they do n't have any information on any inquiry being placed on my account due to them running my credit. I have been given the run around for the past few months no one seems to want to willingly help me resolve this matter.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77090,,Consent provided,Web,06/20/2017,Closed with explanation,Yes,,2553384
06/20/2018,"Payday loan, title loan, or personal loan",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,REGIONS FINANCIAL CORPORATION,GA,30350,,,Referral,06/21/2018,Closed with non-monetary relief,Yes,,2942849
11/05/2014,Credit reporting,,,"EQUIFAX, INC.",TX,76132,,,Postal mail,11/25/2014,Closed with explanation,Yes,No,1102808
03/01/2018,Debt collection,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Convergent Resources, Inc.",CA,923XX,Servicemember,Consent not provided,Web,03/01/2018,Closed with explanation,Yes,,2829534
04/10/2019,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,911XX,,,Web,04/10/2019,Closed with non-monetary relief,Yes,,3208253
03/04/2014,Debt collection,,,"Credit Protection Association, L.P.",OR,977XX,,,Web,03/13/2014,Closed with non-monetary relief,Yes,No,743936
08/24/2017,"Credit reporting, credit repair services, or other personal consumer reports","I disputed this Item several times with along with others with Equifax however, they did not comply with the State Attorney General Settlement Agreement and 609 letters  with this one particular item. Please note : Disclosures to consumers [ 15 U.S.C. 1681g ] ( a ) Information on file ; sources ; report recipients. Every consumer reporting agency shall, upon request, and subject to 610 ( a ) ( 1 ) [ 1681h ], clearly and accurately disclose to the consumer : Equifax has refused and I have the right to demand that you disclose to me all of the documents that you have recorded and retained in your file at the time of this request concerning the accounts that you are reporting in my credit report. Please dont respond to my request by saying that these accounts have been verified. Send me copies of the documents that you have in your files that were used to verify the item. If you do not have any documentation in your files to verify the accuracy of these disputed item then please delete it immediately as required under Section 611 ( a ) ( 5 ) ( A ) ( i ). By publishing this inaccurate and unverified item on my credit report and distributing them to 3rd pa rties you are damaging my reputation and credit worthiness. According Section 15 U.S. Code 1681d - Disclosure of investigative consumer reports ( b ) Disclosure on request of nature and scope of investigation Any person who procures or causes to be prepared an investigative consumer report on any consumer shall, upon written request made by the consumer within a reasonable period of time after the receipt by him of the disclosure required by subsectio n ( a ) ( 1 ), make a complete and accurate disclosure of the nature and scope of th e investigation requested. This disclosure shall be made in a writing mailed, or otherwise delivered, to the consumer not later than five days after the date on which the request for such disclosure was received from the consumer or such report was first requested, whichever is the later. The description of the procedure used to determine the accuracy and completeness of the information is hereby requested as well, to be provide within 5 days of the completion of your reinvestigation.",,"EQUIFAX, INC.",GA,30080,,Consent provided,Web,08/24/2017,Closed with explanation,Yes,,2649936
06/02/2016,Consumer Loan,"I contacted Ally Financial on XXXX/XXXX/XXXX about the fact they were reporting ( 2 ) 30 day lates on my XXXX and XXXX Report dated XXXX and XXXX yet they were reporting XXXX 30 day late on my XXXX Report dated XXXX. I never had a 30 day late on the account from XXXX when opened until XXXX when traded and paid off. I was told by Ally that it would take them XXXX 5 days to get it corrected. I called them back on XXXX/XXXX/XXXX and they stated I was told incorrectly and that it would take at least 30 days to get a response. They changed the XXXX Bureau on XXXX/XXXX/XXXX to reflect XXXX late payment in XXXX but under status it still showed ( XXXX ) 30 day lates plus they updated the XXXX to XXXX so it brought my score down and they are still reporting it incorrectly. I contacted them again today and was told it would take another 30 days to look into it but that I did have ( XXXX ) 30 day lates in XXXX and XXXX I had all of my notes, dates when I called in and bank statements and the lady stated that the account was in a deferment in XXXX and that it was deferred in XXXX yet I made a payment on XXXX/XXXX/XXXX and on XXXX/XXXX/XXXX. They said they did not have a record of where they changed the due date on the account at any point and the contract due date was the XXXX yet they mailed me a confirmation that it was changed to the XXXX of each month. They stated they did not have access to my XXXX/XXXX/XXXX phone conversation. Basically they are reporting erroneous information on all XXXX bureaus and they want me to wait another 30 days for them to correct it despite telling them i was in the process of trying to save our home and refinance it and they keep getting the information more messed up. I want all the late 's removed from all XXXX credit bureau files immediately and for the bureaus to reflect paid as agreed and never late as it should. I should n't be penalized for there errors.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,AL,,,Consent provided,Web,06/02/2016,Closed with non-monetary relief,Yes,No,1952128
03/27/2017,Debt collection,,,"Southwest Credit Systems, L.P.",PA,152XX,,Consent not provided,Web,03/27/2017,Closed with explanation,Yes,Yes,2405736
08/22/2014,Debt collection,,,"Receivables Performance Management, LLC",CA,90303,,,Web,08/22/2014,Closed with explanation,Yes,No,996688
02/05/2018,Mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,M&T BANK CORPORATION,SC,29420,,,Referral,02/06/2018,Closed with explanation,Yes,,2805933
03/21/2018,Mortgage,,,"AmeriHome Mortgage Company, LLC",MN,554XX,,Other,Web,04/13/2018,Closed with explanation,Yes,,2850026
08/11/2017,Checking or savings account,I tried opening an account with Chase bank today. The gentleman informed me that they would n't be able to but refused to give me a reason why or a number to contact to find out why it was denied. He said they were not obligated to share the information.,,JPMORGAN CHASE & CO.,IL,,,Consent provided,Web,08/11/2017,Closed with explanation,Yes,,2601554
05/24/2016,Credit card,,,JPMORGAN CHASE & CO.,FL,341XX,Older American,Consent not provided,Web,05/24/2016,Closed with explanation,Yes,No,1940045
03/29/2014,Mortgage,,,"LAKEVIEW LOAN SERVICING, LLC",CA,92505,,,Web,03/29/2014,Closed with monetary relief,No,No,784889
02/09/2017,Debt collection,,,"Rent Recover, LLC",PA,19446,,Consent not provided,Web,02/09/2017,Untimely response,No,No,2336662
01/03/2019,Checking or savings account,,,"ASSOCIATED BANK, NATIONAL ASSOCIATION",WI,54405,,,Referral,01/04/2019,Closed with monetary relief,Yes,,3116420
10/01/2014,Bank account or service,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,78247,Older American,,Web,10/01/2014,Closed with explanation,Yes,Yes,1053418
12/17/2017,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TN,381XX,,Consent not provided,Web,12/17/2017,Closed with explanation,Yes,,2757614
12/09/2018,"Credit reporting, credit repair services, or other personal consumer reports",,,"Diversified Consultants, Inc.",VA,23116,,Consent not provided,Web,12/11/2018,Closed with non-monetary relief,Yes,,3095442
07/10/2014,Credit reporting,,,Experian Information Solutions Inc.,CA,90278,,,Web,07/10/2014,Closed with explanation,Yes,No,930694
04/25/2019,Vehicle loan or lease,,,BBVA COMPASS FINANCIAL CORPORATION,TX,750XX,,,Referral,04/26/2019,In progress,Yes,,3223911
10/29/2014,Credit card,,,SYNCHRONY FINANCIAL,LA,70131,,,Referral,11/04/2014,Closed with explanation,Yes,Yes,1092527
07/01/2013,Mortgage,,,Swan Financial Corporation,KY,40229,,,Web,08/02/2013,Closed with explanation,Yes,No,446570
11/14/2014,Debt collection,,,"Cedars Business Services, LLC",FL,334XX,,,Web,11/14/2014,Closed,No,No,1116332
07/30/2018,"Credit reporting, credit repair services, or other personal consumer reports","I filed a complaint with the collection agency but the bureaus, in my opinion, hold some responsibility also. The only reason I know about this is because I received an alert from my credit monitoring service to a new collection reported. I have been working on my credit and was getting much better. Real quickly, my monitoring service just posted a collection from XXXX XXXX XXXX account # XXXX. I looked them up online and they seem to be out of XXXX XXXX. The collection shows online that the original creditor is XXXX XXXX XXXX XXXX with a balance of {$11000.00}. I never received a phone call nor any letters from this company which I filed a complaint about. Additionally, the bureaus are showing as a voluntary repossession from XXXX XXXX XXXX XXXX, account # XXXX, with a balance of {$12000.00}. The issue is now I have 2 negative items both showing a balance owed for the same thing, and both are effecting my debt to credit ratio twice for the same debt. My understanding is the credit bureaus can not report a balance from an original creditor after it is sold to a collection company. The balance has to be XXXX  'd out from the original creditor. Otherwise, the original creditor shows a debt owed, the collection shows a debt owed for the same debt and I get penalized twice on my debt to credit ratio. I am in the process of getting a loan and this is the last thing I needed to happen.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,761XX,,Consent provided,Web,07/30/2018,Closed with explanation,Yes,,2976986
12/15/2014,Debt collection,,,"Kimball, Tirey & St. John LLP",CA,92591,,,Web,12/17/2014,Closed,No,No,1156901
03/27/2017,Credit card,"XXXX would not send me a new card to my new address because I did not have the security code on back of card!!! I decided to pay off card in full after many telephone transfers even to non English speaking county, who did not understand me. I then received a bill for interest incurred ... I paid that fee. After about 6 hours of phone calls my card was never closed. They kept charging me fees which have no explanation attached to the bill. They also refused to allow me to use my {$140.00} in cash rewards. My last attempt to solve the mystery of a XXXX fee and how to use my rewards after being transferred around for the 10th time, I was hung up on ... with no resolve. They continue to bill me for an unexplained fee.",,AMERICAN EXPRESS COMPANY,MN,,,Consent provided,Web,03/27/2017,Closed with monetary relief,Yes,No,2406224
12/10/2014,Credit card,,,SYNCHRONY FINANCIAL,TX,75703,,,Web,12/12/2014,Closed with explanation,Yes,Yes,1150194
08/23/2013,Mortgage,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,31322,,,Web,08/23/2013,Closed with non-monetary relief,Yes,No,502228
01/19/2018,Credit card or prepaid card,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CO,80922,,,Referral,01/22/2018,Closed with explanation,Yes,,2790098
08/27/2015,Credit reporting,,Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30260,,,Referral,09/15/2015,Closed with explanation,Yes,No,1540565
11/30/2015,Debt collection,"AALIANT WAS BEING SUED BY XXXX FOR UNLAWFUL HARD INQUIRY! THE CASE WAS DISMISSED, BUT STEP OVER THE LINE AGAIN BY CALLING MY WIFES CELL PHONE ( XXXX ) XXXX AND XXXX WORK NO. ( XXXX ) XXXX IN VIOLATION OF TCPA AND FDCPA.",,Alliant Capital Management LLC,IL,604XX,,Consent provided,Web,11/30/2015,Closed with explanation,Yes,Yes,1676464
11/29/2017,"Payday loan, title loan, or personal loan",,,CURO Intermediate Holdings,TX,75104,,Consent not provided,Web,11/29/2017,Closed with explanation,Yes,,2741780
04/05/2019,"Credit reporting, credit repair services, or other personal consumer reports",,,"Risecredit, LLC",AL,350XX,Servicemember,,Web,04/10/2019,Closed with explanation,Yes,,3202508
06/11/2014,Debt collection,,,"Altisource Portfolio Solutions, S.à r.l.",NY,10301,,,Web,06/11/2014,Closed with non-monetary relief,Yes,Yes,890706
05/28/2017,"Credit reporting, credit repair services, or other personal consumer reports","Once again they have incorrect information [ report  XXXX  ] even though we submitted through your agency. All you did was take their reply and close the file. How many times do we need to repeat the process until the report is correct? This is causing us severe financial impact. Attempts to correct on line failed since they provided incorrect validation information. Attempts to call by phone failed as usual-  1- M y name  XXXX   XXXX   XXXX   XXXX  NOT  XXXX   XXXX   XXXX   XXXX  Hello.  2-   XXXX   XXXX   XXXX  is not ours. and not a savings plan. It was a retail purchase paid to   XXXX   balance months ago! Basically all debts paid down and still a miserable score and incorrect reporting! Same issue with numerous inquiries, missing  Security hold but they have a "" State Legislation '' hol d on the account- remarkable.  XXXX   XXXX  Bank  XXXX  mortgage since  XXXX   2017",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,,Older American,Consent provided,Web,05/28/2017,Closed with non-monetary relief,Yes,,2495944
01/05/2018,"Credit reporting, credit repair services, or other personal consumer reports",There are many mistakes appear in my report without my understanding.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,774XX,,Consent provided,Web,01/05/2018,Closed with explanation,Yes,,2772815
01/05/2016,Mortgage,,Company chooses not to provide a public response,WELLS FARGO & COMPANY,WA,970XX,,Consent not provided,Web,01/12/2016,Closed with explanation,Yes,No,1727481
08/23/2016,Credit reporting,,,"EQUIFAX, INC.",DC,200XX,,Consent not provided,Web,08/23/2016,Closed with explanation,Yes,No,2074525
05/19/2012,Mortgage,,,JPMORGAN CHASE & CO.,GA,30084,,,Referral,06/03/2012,Closed with explanation,Yes,No,84812
01/12/2018,Checking or savings account,I TRied making a deposit to an Bank of America Bank atm to make a deposit before I got hit by many over draft fees bank errors,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,959XX,,Consent provided,Web,01/12/2018,Closed with explanation,Yes,,2780312
01/03/2018,Student loan,"On XXXX XXXX XXXX I made an early payment on my Federal Statement Student Loans serviced by Navient in the amount of 1 full month 's payment. I had already paid my XXXX payment on the XXXX of that month via Navient 's autopay system. 

When I paid that loan I selected the option that Navient provides to advance my due date for my next payment by the amount of time that this payment would cover, in this case 1 month. You must select to either advance your due date or have the additional payment applied to interest/principal when making a payment. 

On XXXX XXXX XXXX, and XXXX XXXX XXXX, Navient 's autopay system attempted to withdraw the XXXX payment from my XXXX XXXX XXXX XXXX XXXX account that I had enrolled with their autopay system. Because I did not have sufficient funds in that account, my bank charged me two {$29.00} overdraft fees, for a total of {$58.00}. 

On XXXX XXXX XXXX I contact Navient and explained the situation. I spoke with a customer service representative and eventually a supervisor. Rather than refund me for the overdraft charges that resulted from their error, the supervisor informed that although I had asked that my due date be advanced when I made my additional payment, that had no impact on their autopay system. 

The supervisor further informed me that this was my fault and Navient could not help me because I agreed to the terms listed on the website when I clicked to submit the extra payment, and that these terms state that their autopay system would continue to function despite the extra payment. After our phone call I logged on to Navient 's website to review this "" disclosure. '' How it actually works is that there is a scroll box on the screen on the final step before you submit payment containing terms and a button separate from this scroll box that you click to submit the payment. Next to that button is the phrase "" By selecting the Submit button below, I am acknowledging that I have read, understand, and agree to the Electronic Payment Authorization. '' Only visible after scrolling approximately 4/5ths of the way through that embedded scroll box is the phrase : *If your loan ( s ) is currently enrolled in Auto Pay, your monthly payment will continue to be deducted from your bank account as originally agreed upon. 

I honestly do not recall whether I manged to locate and read this statement prior to submitting the payment. Frankly, it should n't matter. A term referencing another agreement ( one that is not contained in the same disclosure ) should not be allowed to trump the plain meaning of primary purpose of the payment being made. 

Remember, I had just informed Navient to advance my due date and I had no desire to pay off my loan more quickly than required. If they were planning to take more money than was owed that month anyway through their autopay, they need to take additional measures beyond burying an opaque disclosure outside of the initially visible portion of a scrollbox above the submit button. 

This practice is misleading and deceptive and causes customers to inadvertently double pay or pay early on monthly payments to Navient 's advantage. Or if they do n't have the funds in their account for the unanticipated double payment, like me, they will be hit with overdraft charges.",,"Navient Solutions, LLC.",CA,,,Consent provided,Web,01/03/2018,Closed with explanation,Yes,,2770899
05/20/2017,Checking or savings account,,,JPMORGAN CHASE & CO.,WA,98802,,,Referral,05/22/2017,Closed with monetary relief,Yes,,2490558
09/08/2017,"Credit reporting, credit repair services, or other personal consumer reports",Equifax happened A company I 'm forced to opt into and cant avoid handing over my information over to has open security policies that allowed the more nefarious types get all the personal information that matters,,"EQUIFAX, INC.",UT,840XX,,Consent provided,Web,09/08/2017,Closed with explanation,Yes,,2660884
06/27/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"HCFS Health Care Financial Services, Inc.",AL,35405,,Consent not provided,Web,06/27/2018,Closed with explanation,Yes,,2948105
07/17/2013,Credit card,,,JPMORGAN CHASE & CO.,CT,064XX,Older American,,Web,07/30/2013,Closed with explanation,Yes,No,459849
06/04/2018,"Credit reporting, credit repair services, or other personal consumer reports",,,"EQUIFAX, INC.",,,,,Phone,06/04/2018,Closed with explanation,Yes,,2925664
05/24/2018,"Payday loan, title loan, or personal loan",,,"Mobiloans, LLC",CA,90046,,Consent not provided,Web,05/24/2018,Untimely response,No,,2916529
02/06/2019,"Credit reporting, credit repair services, or other personal consumer reports",,,"EQUIFAX, INC.",WI,53224,,Consent not provided,Web,02/06/2019,Closed with explanation,Yes,,3144894
04/20/2015,Mortgage,,,NATIONSTAR MORTGAGE,FL,32904,,,Referral,04/22/2015,Closed with explanation,Yes,No,1337165
04/05/2018,Debt collection,,,Alliance Data Card Services,CA,94954,,,Postal mail,04/05/2018,Closed with non-monetary relief,Yes,,2865236
03/19/2015,Bank account or service,,,BBVA COMPASS FINANCIAL CORPORATION,TX,782XX,,Consent not provided,Web,03/23/2015,Closed with explanation,Yes,No,1290259
09/29/2015,Mortgage,,Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,92129,,Consent not provided,Web,10/02/2015,Closed with explanation,Yes,Yes,1584960
02/16/2016,Mortgage,"XXXX/XXXX/XXXX emailed hardship application and supporting financials to Caliber XXXX/XXXX/XXXX Caliber requested rental agreement for rental income XXXX/XXXX/XXXX LOE needed for one item on the RMA XXXX/XXXX/XXXX Letter from Caliber acknowledging receipt of a complete packet, review to be conducted in 30 days, letter is attached XXXX/XXXX/XXXX contacted XXXX for status update, XXXX advised that the in house was completed but then they realized that this loan qualified for HAMP review ; file went back into review on XXXX/XXXX/XXXX XXXX/XXXX/XXXX Caliber advises file pending review XXXX/XXXX/XXXX Caliber advises need more information to complete review-additional docs send right in XXXX/XXXX/XXXX Caliber advises again more information There have not been any missing documents letters received by the homeowners. It has been nearly 90 days since the original packet was sent to XXXX ; XXXX review should have been completed prior to an in house review. We do not understand how they can get away with violating the guidelines. This loan is incurring additional interest and escrow advances making it more difficult to leave modification options available Caliber needs to be looked at for violation of CFPB guidelines",,"Caliber Home Loans, Inc.",ME,,,Consent provided,Web,02/16/2016,Closed with explanation,Yes,No,1788199
11/11/2016,Credit reporting,,,"EQUIFAX, INC.",FL,32738,Servicemember,Consent not provided,Web,11/11/2016,Closed with explanation,Yes,No,2205219
07/05/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30045,,,Referral,07/05/2018,Closed with explanation,Yes,,2954604
02/19/2016,Credit reporting,My yonger sister bad credit is on my credit.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,OH,441XX,,Consent provided,Web,02/19/2016,Closed with explanation,Yes,No,1795644
12/31/2013,Debt collection,,,"Real Time Resolutions, Inc.",MN,55345,,,Web,12/31/2013,Closed with explanation,Yes,No,650936
02/15/2017,Debt collection,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"The CMI Group, Inc.",IL,60629,,Consent not provided,Web,03/19/2017,Closed with non-monetary relief,Yes,No,2345751
12/25/2018,"Credit reporting, credit repair services, or other personal consumer reports",,,"EQUIFAX, INC.",TX,77037,,Consent not provided,Web,12/25/2018,Closed with explanation,Yes,,3108790
03/27/2013,Credit reporting,,,"EQUIFAX, INC.",CA,90723,,,Postal mail,04/12/2013,Closed with non-monetary relief,Yes,No,367140
04/15/2017,Debt collection,"I have XXXX collection accounts on my credit report from this company and not only disputed with the credit bureaus but also with the collection agencies. I sent the letter to the address on my credit report. The letter was returned as deliverable. I then sent the letter to another address obtained from a letter sent to me after the credit bureau dispute was received by them ; it was a different address. I asked for the proof that I ever agreed to pay or owe the debt with my signature on it. The only communication I have ever received was that one letter. They refuse to remove, reply, validate or anything else. By not replying, they are agreeing that the debt is not valid and therefore, should be removed. Not only have I received no proof of this debt, but they have also failed to insert a notice of dispute to my credit file which is a violation of the FDCPA and I can take them to court over this along with reporting a debt and failing to verify. In addition to this, they continue to change the account status from open to closed and back again, multiple times per month.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"HOVG, LLC",NV,891XX,,Consent provided,Web,04/17/2017,Closed with explanation,Yes,No,2436792
09/16/2016,Mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FREEDOM MORTGAGE COMPANY,CA,92832,,Consent not provided,Web,09/20/2016,Closed with explanation,Yes,Yes,2117227
09/26/2018,"Money transfer, virtual currency, or money service","Paypal would not let me delete my bank card. and their website doesnt work correctly most of the time! 
I wanted to purchase something through XXXX with an XXXX gift card. Someone through pay pal 's XXXX system, it tried to take the money out of my old bank account that I do not use anymore ( XXXX XXXX  ). As a result that bank gave me several fees totalling over {$120.00}!! And paypal somehow authorized the transaction and now say that I owe them money!! 
I was trying to use a gift card throuogh XXXX!! 
Pay pal, it is their fault the whole mess happened. 
And they never should have authorized that payment to go through and the so-called negative balance with a paypal account that I have no kNOWELEDGE OF!! 
PAYPAL SHOULD BE FINED FOR BAD BUSINESS PRACTICES, CAN NOT ACCESS OUR BANK INFO, AND CAN NOT DELETE OUR BANK CARD WHEN WE HAVE TO DELETE IT!! 
AND THEY NEVER SHOULD HAVE AUTHORIZED THE MONEY TO GO THROUOGH SO I OWE THEM MONEY?????? NOT!! I WAS GOING TO PAY THE ITEM THROUGH AN XXXX GIFT CARD, NOT PAYPAL!! I DO NOT EVEN HAVE A BANK ACCOUNT, THEY OWE ME AT LEAST {$120.00} IN BANK FEES!!",,PAYPAL HOLDINGS INC.,PA,,,Consent provided,Web,10/22/2018,Closed with monetary relief,Yes,,3029741
08/21/2017,"Credit reporting, credit repair services, or other personal consumer reports","I have logged 9 complaints with Lexisnexis it took 6 complaints for them to correct an address change I logged with the CFPB. Again now they still are reporting false and misleading information in an effort to resolve this issue I reached out to there number listed on the report and guess what it does n't work says not available. Please check for yourself Below is there contact information try it If XXXX XXXX has any further questions for LexisNexis, please have him contact the LexisNexis Consumer Center via email at XXXXXXXXXXXX or by phone at XXXX. The LexisNexis Consumer Center 's hours of operation are Monday - Friday from XXXX XXXX to XXXX XXXX Eastern Time.",,LEXISNEXIS,NY,103XX,,Consent provided,Web,08/21/2017,Closed with explanation,Yes,,2648830
04/28/2013,Credit reporting,,,Experian Information Solutions Inc.,OR,97222,Older American,,Web,04/29/2013,Closed with explanation,Yes,No,393874
11/03/2015,Consumer Loan,"Paypal XXXX pulled my credit without my authorization on XXXX XXXX, 2014 resulting in a hard pull with XXXX. This inqueries is hurt my credit rating. Also I was signed up for PayPay credit line without my consent. I never applied for a credit line, this was never authorized and I never plan to use paypal credit.",,PAYPAL HOLDINGS INC.,MN,,,Consent provided,Web,11/12/2015,Closed with explanation,Yes,No,1637822
01/15/2019,Credit card or prepaid card,"On XX/XX/2018, I paid online for a scooter from a company called XXXX XXXX based in XXXX. I used my Citibank credit card thinking that the advertised purchase protections would cover my back if the merchant was dishonest. The purchase amount was over {$1500.00}. After making the purchase the company tried to upsell me and I refused and asked for a refund since the merchant refused to ship the product to me. They indicated they would issue the refund on XX/XX/2018 but never did. I contacted Citi on XX/XX/2018 to handle the situation. They provided a temporary credit. After waiting almost two months, Citi sent me an email on XX/XX/2018 indicating that there was a letter for me to review. The email made no indication that I had to provide anything. I logged into their website and downloaded the letter which was a letter from the merchant asking their bank ( not Citibank ) to not charge additional fees on top of the chargeback that Citibank instituted. The merchant did not contradict any of my claims and further indicated a desire to issue a refund. Although Citibank 's message to me did not indicate a need to respond, apparently they prepared a second letter, that was not clear from the message, that requested I provide a signed letter in response to the merchant 's message even though the merchant agreed with my claims. They provided no guidance as to what should be in the letter since the merchant was agreeing with me. Citibank gave me only one week to respond and I didn't know I had to respond at all since no additional information was requested. The next month Citibank reversed the credit and left me with a {$1500.00} charge and no product. I called to inquire and they said my time for a dispute had expired and there is nothing they can do. They were the ones that chewed up all the time and yet I'm stuck with no product and a large charge. I complained that their communication to me did not indicate a need to respond since the merchant agreed with my claims. They proceeded to hide behind statements of policy and tried to blame Visa for the restrictions. But Visa didn't take a month to respond. Even though Citibank claimed to have "" investigators '' looking into the issue, they didn't investigate anything that resulted in my getting my money back. 



Their claim to have purchase protections for consumers is simply false. I had a problem with a chargeback with XXXX XXXX a few years back and it was amazingly simple to do and resolve. But Citibank seems to want to cloud the issue with inaccurate stories and claims of restrictions on what they can handle. They shouldn't advertise purchase protections and then run the clock out just so they can claim the time period is expired.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,91380,,Consent provided,Web,01/15/2019,Closed with explanation,Yes,,3124816
05/22/2014,Mortgage,,,NATIONSTAR MORTGAGE,MI,48843,,,Web,05/22/2014,Closed with explanation,Yes,Yes,864246
